h_ratio,theta,model,z_order,r,omega,amplitude
0.000000,-1.0000,parametric,5,79.15831684,0.81118979,7404460.32974712
0.000000,-1.0000,parametric,5,79.35871764,0.81288725,7498663.33840516
0.000000,-1.0000,parametric,5,79.55911844,0.81459271,7593822.71334156
0.000000,-1.0000,parametric,5,79.75951924,0.81630623,7689945.71805144
0.000000,-1.0000,parametric,5,79.95992004,0.81802781,7787039.65271411
0.000000,-1.0000,parametric,5,80.16032084,0.81975749,7885111.85428550
0.000000,-1.0000,parametric,5,80.36072164,0.82149530,7984169.69659053
0.000000,-1.0000,parametric,5,80.56112244,0.82324126,8084220.59041558
0.000000,-1.0000,parametric,5,80.76152324,0.82499541,8185271.98360077
0.000000,-1.0000,parametric,5,80.96192404,0.82675777,8287331.36113252
0.000000,-1.0000,parametric,5,81.16232484,0.82852837,8390406.24523582
0.000000,-1.0000,parametric,5,81.36272564,0.83030724,8494504.19546669
0.000000,-1.0000,parametric,5,81.56312644,0.83209442,8599632.80880460
0.000000,-1.0000,parametric,5,81.76352724,0.83388992,8705799.71974485
0.000000,-1.0000,parametric,5,81.96392804,0.83569377,8813012.60039098
0.000000,-1.0000,parametric,5,82.16432884,0.83750602,8921279.16054715
0.000000,-1.0000,parametric,5,82.36472964,0.83932667,9030607.14781059
0.000000,-1.0000,parametric,5,82.56513043,0.84115578,9141004.34766396
0.000000,-1.0000,parametric,5,82.76553123,0.84299335,9252478.58356776
0.000000,-1.0000,parametric,5,82.96593203,0.84483943,9365037.71705279
0.000000,-1.0000,parametric,5,83.16633283,0.84669405,9478689.64781247
0.000000,-1.0000,parametric,5,83.36673363,0.84855722,9593442.31379528
0.000000,-1.0000,parametric,5,83.56713443,0.85042899,9709303.69129720
0.000000,-1.0000,parametric,5,83.76753523,0.85230937,9826281.79505404
0.000000,-1.0000,parametric,5,83.96793603,0.85419841,9944384.67833390
0.000000,-1.0000,parametric,5,84.16833683,0.85609613,10063620.43302957
0.000000,-1.0000,parametric,5,84.36873763,0.85800256,10183997.18975089
0.000000,-1.0000,parametric,5,84.56913843,0.85991773,10305523.11791720
0.000000,-1.0000,parametric,5,84.76953923,0.86184166,10428206.42584972
0.000000,-1.0000,parametric,5,84.96994003,0.86377440,10552055.36086399
0.000000,-1.0000,parametric,5,85.17034083,0.86571597,10677078.20936219
0.000000,-1.0000,parametric,5,85.37074163,0.86766640,10803283.29692563
0.000000,-1.0000,parametric,5,85.57114243,0.86962573,10930678.98840714
0.000000,-1.0000,parametric,5,85.77154323,0.87159397,11059273.68802340
0.000000,-1.0000,parametric,5,85.97194403,0.87357116,11189075.83944744
0.000000,-1.0000,parametric,5,86.17234483,0.87555734,11320093.92590100
0.000000,-1.0000,parametric,5,86.37274563,0.87755253,11452336.47024691
0.000000,-1.0000,parametric,5,86.57314643,0.87955676,11585812.03508154
0.000000,-1.0000,parametric,5,86.77354723,0.88157007,11720529.22282718
0.000000,-1.0000,parametric,5,86.97394803,0.88359248,11856496.67582442
0.000000,-1.0000,parametric,5,87.17434883,0.88562402,11993723.07642463
0.000000,-1.0000,parametric,5,87.37474963,0.88766474,12132217.14708226
0.000000,-1.0000,parametric,5,87.57515042,0.88971465,12271987.65044732
0.000000,-1.0000,parametric,5,87.77555122,0.89177379,12413043.38945777
0.000000,-1.0000,parametric,5,87.97595202,0.89384218,12555393.20743188
0.000000,-1.0000,parametric,5,88.17635282,0.89591987,12699045.98816070
0.000000,-1.0000,parametric,5,88.37675362,0.89800688,12844010.65600041
0.000000,-1.0000,parametric,5,88.57715442,0.90010325,12990296.17596478
0.000000,-1.0000,parametric,5,88.77755522,0.90220900,13137911.55381746
0.000000,-1.0000,parametric,5,88.97795602,0.90432416,13286865.83616455
0.000000,-1.0000,parametric,5,89.17835682,0.90644878,13437168.11054686
0.000000,-1.0000,parametric,5,89.37875762,0.90858287,13588827.50553237
0.000000,-1.0000,parametric,5,89.57915842,0.91072647,13741853.19080864
0.000000,-1.0000,parametric,5,89.77955922,0.91287962,13896254.37727524
0.000000,-1.0000,parametric,5,89.97996002,0.91504234,14052040.31713604
0.000000,-1.0000,parametric,5,90.18036082,0.91721467,14209220.30399178
0.000000,-1.0000,parametric,5,90.38076162,0.91939663,14367803.67293231
0.000000,-1.0000,parametric,5,90.58116242,0.92158827,14527799.80062913
0.000000,-1.0000,parametric,5,90.78156322,0.92378961,14689218.10542767
0.000000,-1.0000,parametric,5,90.98196402,0.92600068,14852068.04743981
0.000000,-1.0000,parametric,5,91.18236482,0.92822152,15016359.12863623
0.000000,-1.0000,parametric,5,91.38276562,0.93045216,15182100.89293876
0.000000,-1.0000,parametric,5,91.58316642,0.93269263,15349302.92631288
0.000000,-1.0000,parametric,5,91.78356722,0.93494297,15517974.85686008
0.000000,-1.0000,parametric,5,91.98396802,0.93720320,15688126.35491024
0.000000,-1.0000,parametric,5,92.18436882,0.93947336,15859767.13311406
0.000000,-1.0000,parametric,5,92.38476962,0.94175349,16032906.94653551
0.000000,-1.0000,parametric,5,92.58517041,0.94404361,16207555.59274411
0.000000,-1.0000,parametric,5,92.78557121,0.94634375,16383722.91190745
0.000000,-1.0000,parametric,5,92.98597201,0.94865396,16561418.78688356
0.000000,-1.0000,parametric,5,93.18637281,0.95097426,16740653.14331328
0.000000,-1.0000,parametric,5,93.38677361,0.95330469,16921435.94971269
0.000000,-1.0000,parametric,5,93.58717441,0.95564528,17103777.21756553
0.000000,-1.0000,parametric,5,93.78757521,0.95799606,17287687.00141557
0.000000,-1.0000,parametric,5,93.98797601,0.96035706,17473175.39895904
0.000000,-1.0000,parametric,5,94.18837681,0.96272833,17660252.55113700
0.000000,-1.0000,parametric,5,94.38877761,0.96510988,17848928.64222781
0.000000,-1.0000,parametric,5,94.58917841,0.96750177,18039213.89993944
0.000000,-1.0000,parametric,5,94.78957921,0.96990401,18231118.59550195
0.000000,-1.0000,parametric,5,94.98998001,0.97231665,18424653.04375986
0.000000,-1.0000,parametric,5,95.19038081,0.97473971,18619827.60326458
0.000000,-1.0000,parametric,5,95.39078161,0.97717324,18816652.67636675
