theta1,theta2,w_mid,omega0_exact,omega0_param,rel_err
0.060455,0.121212,0.121181,0.48832074,0.48663126,3.459766e-03
0.064667,0.121212,0.121181,0.48447420,0.48256481,3.941143e-03
0.068879,0.121212,0.121181,0.48067290,0.47853352,4.450807e-03
0.073091,0.121212,0.121181,0.47691616,0.47453725,4.988100e-03
0.077303,0.121212,0.121181,0.47320326,0.47057589,5.552298e-03
0.081515,0.121212,0.121181,0.46953353,0.46664933,6.142679e-03
0.085727,0.121212,0.121181,0.46590630,0.46275749,6.758467e-03
0.089939,0.121212,0.121181,0.46232092,0.45890027,7.398862e-03
0.094152,0.121212,0.121181,0.45877675,0.45507762,8.063026e-03
0.098364,0.121212,0.121181,0.45527316,0.45128948,8.750088e-03
0.102576,0.121212,0.121181,0.45180953,0.44753580,9.459135e-03
0.106788,0.121212,0.121181,0.44838525,0.44381656,1.018922e-02
0.111000,0.121212,0.121181,0.44499975,0.44013173,1.093937e-02
0.115212,0.121212,0.121181,0.44165242,0.43648131,1.170854e-02
0.119424,0.121212,0.121181,0.43834270,0.43286531,1.249567e-02
0.123636,0.121212,0.121181,0.43507002,0.42928374,1.329966e-02
0.127848,0.121212,0.121181,0.43183385,0.42573664,1.411934e-02
0.132061,0.121212,0.121181,0.42863363,0.42222404,1.495354e-02
0.136273,0.121212,0.121181,0.42546883,0.41874600,1.580100e-02
0.140485,0.121212,0.121181,0.42233894,0.41530259,1.666045e-02
0.144697,0.121212,0.121181,0.41924345,0.41189388,1.753054e-02
0.148909,0.121212,0.121181,0.41618184,0.40851998,1.840991e-02
0.153121,0.121212,0.121181,0.41315364,0.40518097,1.929710e-02
0.157333,0.121212,0.121181,0.41015835,0.40187698,2.019065e-02
0.161545,0.121212,0.121181,0.40719550,0.39860814,2.108903e-02
0.165758,0.121212,0.121181,0.40426462,0.39537459,2.199064e-02
0.169970,0.121212,0.121181,0.40136526,0.39217647,2.289385e-02
0.174182,0.121212,0.121181,0.39849697,0.38901395,2.379695e-02
0.178394,0.121212,0.121181,0.39565929,0.38588722,2.469821e-02
0.182606,0.121212,0.121181,0.39285181,0.38279645,2.559580e-02
0.186818,0.121212,0.121181,0.39007409,0.37974186,2.648787e-02
0.191030,0.121212,0.121181,0.38732571,0.37672364,2.737247e-02
0.195242,0.121212,0.121181,0.38460626,0.37374204,2.824763e-02
0.199455,0.121212,0.121181,0.38191534,0.37079729,2.911129e-02
0.203667,0.121212,0.121181,0.37925255,0.36788963,2.996134e-02
0.207879,0.121212,0.121181,0.37661749,0.36501934,3.079559e-02
0.212091,0.121212,0.121181,0.37400979,0.36218667,3.161179e-02
0.216303,0.121212,0.121181,0.37142907,0.35939194,3.240763e-02
0.220515,0.121212,0.121181,0.36887496,0.35663542,3.318073e-02
0.224727,0.121212,0.121181,0.36634709,0.35391743,3.392863e-02
0.228939,0.121212,0.121181,0.36384510,0.35123831,3.464880e-02
0.233152,0.121212,0.121181,0.36136865,0.34859837,3.533865e-02
0.237364,0.121212,0.121181,0.35891738,0.34599797,3.599549e-02
0.241576,0.121212,0.121181,0.35649096,0.34343748,3.661659e-02
0.245788,0.121212,0.121181,0.35408905,0.34091726,3.719910e-02
0.250000,0.121212,0.121181,0.35171132,0.33843769,3.774013e-02
-0.167000,0.181818,0.181771,0.79034007,0.76690890,2.964694e-02
-0.162788,0.181818,0.181771,0.78243603,0.76041366,2.814591e-02
-0.158576,0.181818,0.181771,0.77464992,0.75397867,2.668463e-02
-0.154364,0.181818,0.181771,0.76697939,0.74760315,2.526305e-02
-0.150152,0.181818,0.181771,0.75942217,0.74128632,2.388112e-02
-0.145939,0.181818,0.181771,0.75197605,0.73502742,2.253879e-02
-0.141727,0.181818,0.181771,0.74463886,0.72882570,2.123600e-02
-0.137515,0.181818,0.181771,0.73740847,0.72268042,1.997272e-02
-0.133303,0.181818,0.181771,0.73028284,0.71659084,1.874889e-02
-0.129091,0.181818,0.181771,0.72325994,0.71055626,1.756447e-02
-0.124879,0.181818,0.181771,0.71633781,0.70457597,1.641940e-02
-0.120667,0.181818,0.181771,0.70951453,0.69864927,1.531365e-02
-0.116455,0.181818,0.181771,0.70278823,0.69277550,1.424715e-02
-0.112242,0.181818,0.181771,0.69615708,0.68695398,1.321986e-02
-0.108030,0.181818,0.181771,0.68961930,0.68118407,1.223173e-02
-0.103818,0.181818,0.181771,0.68317314,0.67546511,1.128269e-02
-0.099606,0.181818,0.181771,0.67681689,0.66979647,1.037270e-02
-0.095394,0.181818,0.181771,0.67054890,0.66417755,9.501691e-03
-0.091182,0.181818,0.181771,0.66436753,0.65860773,8.669598e-03
-0.086970,0.181818,0.181771,0.65827120,0.65308643,7.876354e-03
-0.082758,0.181818,0.181771,0.65225836,0.64761305,7.121885e-03
-0.078545,0.181818,0.181771,0.64632749,0.64218704,6.406114e-03
-0.074333,0.181818,0.181771,0.64047710,0.63680783,5.728958e-03
-0.070121,0.181818,0.181771,0.63470574,0.63147488,5.090327e-03
-0.065909,0.181818,0.181771,0.62901201,0.62618766,4.490128e-03
-0.061697,0.181818,0.181771,0.62339451,0.62094566,3.928256e-03
-0.057485,0.181818,0.181771,0.61785189,0.61574835,3.404603e-03
-0.053273,0.181818,0.181771,0.61238282,0.61059525,2.919049e-03
-0.049061,0.181818,0.181771,0.60698602,0.60548587,2.471469e-03
-0.044848,0.181818,0.181771,0.60166021,0.60041975,2.061727e-03
-0.040636,0.181818,0.181771,0.59640415,0.59539642,1.689677e-03
-0.036424,0.181818,0.181771,0.59121663,0.59041543,1.355163e-03
-0.032212,0.181818,0.181771,0.58609646,0.58547636,1.058018e-03
-0.028000,0.181818,0.181771,0.58104249,0.58057878,7.980653e-04
-0.023788,0.181818,0.181771,0.57605357,0.57572228,5.751125e-04
-0.019576,0.181818,0.181771,0.57112860,0.57090646,3.889562e-04
-0.015364,0.181818,0.181771,0.56626649,0.56613094,2.393807e-04
-0.011152,0.181818,0.181771,0.56146618,0.56139535,1.261526e-04
-0.006939,0.181818,0.181771,0.55672661,0.55669931,4.902774e-05
-0.002727,0.181818,0.181771,0.55204678,0.55204250,7.746770e-06
0.001485,0.181818,0.181771,0.54742567,0.54742456,2.024488e-06
0.005697,0.181818,0.181771,0.54286232,0.54284518,3.157049e-05
0.009909,0.181818,0.181771,0.53835576,0.53830404,9.607371e-05
0.014121,0.181818,0.181771,0.53390506,0.53380084,1.952026e-04
0.018333,0.181818,0.181771,0.52950930,0.52933530,3.286028e-04
0.022545,0.181818,0.181771,0.52516757,0.52490713,4.959107e-04
0.026758,0.181818,0.181771,0.52087900,0.52051609,6.967301e-04
0.030970,0.181818,0.181771,0.51664272,0.51616191,9.306530e-04
0.035182,0.181818,0.181771,0.51245789,0.51184435,1.197240e-03
0.039394,0.181818,0.181771,0.50832367,0.50756320,1.496036e-03
0.043606,0.181818,0.181771,0.50423925,0.50331823,1.826559e-03
0.047818,0.181818,0.181771,0.50020384,0.49910925,2.188302e-03
0.052030,0.181818,0.181771,0.49621666,0.49493606,2.580733e-03
0.056242,0.181818,0.181771,0.49227694,0.49079848,3.003292e-03
0.060455,0.181818,0.181771,0.48838392,0.48669636,3.455395e-03
0.064667,0.181818,0.181771,0.48453688,0.48262954,3.936428e-03
0.068879,0.181818,0.181771,0.48073510,0.47859787,4.445750e-03
0.073091,0.181818,0.181771,0.47697787,0.47460124,4.982682e-03
0.077303,0.181818,0.181771,0.47326449,0.47063951,5.546523e-03
0.081515,0.181818,0.181771,0.46959428,0.46671260,6.136536e-03
0.085727,0.181818,0.181771,0.46596658,0.46282040,6.751951e-03
0.089939,0.181818,0.181771,0.46238074,0.45896283,7.391970e-03
0.094152,0.181818,0.181771,0.45883611,0.45513984,8.055753e-03
0.098364,0.181818,0.181771,0.45533206,0.45135135,8.742422e-03
0.102576,0.181818,0.181771,0.45186798,0.44759734,9.451078e-03
0.106788,0.181818,0.181771,0.44844327,0.44387777,1.018076e-02
0.111000,0.181818,0.181771,0.44505732,0.44019262,1.093050e-02
0.115212,0.181818,0.181771,0.44170955,0.43654188,1.169925e-02
0.119424,0.181818,0.181771,0.43839941,0.43292557,1.248597e-02
0.123636,0.181818,0.181771,0.43512631,0.42934369,1.328952e-02
0.127848,0.181818,0.181771,0.43188971,0.42579628,1.410878e-02
0.132061,0.181818,0.181771,0.42868908,0.42228338,1.494254e-02
0.136273,0.181818,0.181771,0.42552387,0.41880504,1.578955e-02
0.140485,0.181818,0.181771,0.42239358,0.41536134,1.664855e-02
0.144697,0.181818,0.181771,0.41929768,0.41195235,1.751818e-02
0.148909,0.181818,0.181771,0.41623568,0.40857816,1.839708e-02
0.153121,0.181818,0.181771,0.41320709,0.40523888,1.928381e-02
0.157333,0.181818,0.181771,0.41021141,0.40193462,2.017688e-02
0.161545,0.181818,0.181771,0.40724817,0.39866551,2.107476e-02
