theta1,theta2,model,amplitude,shift
-0.100000,0.000000,exact,6.6274124211,0.0673340438
-0.100000,0.000000,exact,6.6750916461,0.0681548873
-0.100000,0.000000,exact,6.7227708711,0.0689771407
-0.100000,0.000000,exact,6.7704500962,0.0698006748
-0.100000,0.000000,exact,6.8181293212,0.0706253565
-0.100000,0.000000,exact,6.8658085462,0.0714510489
-0.100000,0.000000,exact,6.9134877712,0.0722776109
-0.100000,0.000000,exact,6.9611669963,0.0731048975
-0.100000,0.000000,exact,7.0088462213,0.0739327592
-0.100000,0.000000,exact,7.0565254463,0.0747610421
-0.100000,0.000000,exact,7.1042046713,0.0755895877
-0.100000,0.000000,exact,7.1518838964,0.0764182324
-0.100000,0.000000,exact,7.1995631214,0.0772468081
-0.100000,0.000000,exact,7.2472423464,0.0780751411
-0.100000,0.000000,exact,7.2949215714,0.0789030526
-0.100000,0.000000,exact,7.3426007965,0.0797303584
-0.100000,0.000000,exact,7.3902800215,0.0805568684
-0.100000,0.000000,exact,7.4379592465,0.0813823866
-0.100000,0.000000,exact,7.4856384716,0.0822067111
-0.100000,0.000000,exact,7.5333176966,0.0830296336
-0.100000,0.000000,exact,7.5809969216,0.0838509393
-0.100000,0.000000,exact,7.6286761466,0.0846704068
-0.100000,0.000000,exact,7.6763553717,0.0854878077
-0.100000,0.000000,exact,7.7240345967,0.0863029064
-0.100000,0.000000,exact,7.7717138217,0.0871154603
-0.100000,0.000000,exact,7.8193930467,0.0879252187
-0.100000,0.000000,exact,7.8670722718,0.0887319235
-0.100000,0.000000,exact,7.9147514968,0.0895353082
-0.100000,0.000000,exact,7.9624307218,0.0903350984
-0.100000,0.000000,exact,8.0101099468,0.0911310108
-0.100000,0.000000,exact,8.0577891719,0.0919227535
-0.100000,0.000000,exact,8.1054683969,0.0927100253
-0.100000,0.000000,exact,8.1531476219,0.0934925159
-0.100000,0.000000,exact,8.2008268469,0.0942699052
-0.100000,0.000000,exact,8.2485060720,0.0950418634
-0.100000,0.000000,exact,8.2961852970,0.0958080504
-0.100000,0.000000,exact,8.3438645220,0.0965681155
-0.100000,0.000000,exact,8.3915437470,0.0973216976
-0.100000,0.000000,exact,8.4392229721,0.0980684242
-0.100000,0.000000,exact,8.4869021971,0.0988079116
-0.100000,0.000000,exact,8.5345814221,0.0995397644
-0.100000,0.000000,exact,8.5822606472,0.1002635751
-0.100000,0.000000,exact,8.6299398722,0.1009789240
-0.100000,0.000000,exact,8.6776190972,0.1016853786
-0.100000,0.000000,exact,8.7252983222,0.1023824935
-0.100000,0.000000,exact,8.7729775473,0.1030698100
-0.100000,0.000000,exact,8.8206567723,0.1037468555
-0.100000,0.000000,exact,8.8683359973,0.1044131435
-0.100000,0.000000,exact,8.9160152223,0.1050681729
-0.100000,0.000000,exact,8.9636944474,0.1057114281
-0.100000,0.000000,exact,9.0113736724,0.1063423781
-0.100000,0.000000,exact,9.0590528974,0.1069604763
-0.100000,0.000000,exact,9.1067321224,0.1075651602
-0.100000,0.000000,exact,9.1544113475,0.1081558511
-0.100000,0.000000,exact,9.2020905725,0.1087319532
-0.100000,0.000000,exact,9.2497697975,0.1092928538
-0.100000,0.000000,exact,9.2974490225,0.1098379224
-0.100000,0.000000,exact,9.3451282476,0.1103665106
-0.100000,0.000000,exact,9.3928074726,0.1108779515
-0.100000,0.000000,exact,9.4404866976,0.1113715592
-0.100000,0.000000,exact,9.4881659226,0.1118466285
-0.100000,0.000000,exact,9.5358451477,0.1123024343
-0.100000,0.000000,exact,9.5835243727,0.1127382313
-0.100000,0.000000,exact,9.6312035977,0.1131532533
-0.100000,0.000000,exact,9.6788828228,0.1135467129
-0.100000,0.000000,exact,9.7265620478,0.1139178009
-0.100000,0.000000,exact,9.7742412728,0.1142656859
-0.100000,0.000000,exact,9.8219204978,0.1145895137
-0.100000,0.000000,exact,9.8695997229,0.1148884068
-0.100000,0.000000,exact,9.9172789479,0.1151614639
-0.100000,0.000000,exact,9.9649581729,0.1154077593
-0.100000,0.000000,param,0.0000001217,0.0000000000
-0.100000,0.000000,param,0.0407289676,0.0000028303
-0.100000,0.000000,param,0.0814578136,0.0000113210
-0.100000,0.000000,param,0.1221866595,0.0000254714
-0.100000,0.000000,param,0.1629155054,0.0000452802
-0.100000,0.000000,param,0.2036443514,0.0000707459
-0.100000,0.000000,param,0.2443731973,0.0001018662
-0.100000,0.000000,param,0.2851020433,0.0001386386
-0.100000,0.000000,param,0.3258308892,0.0001810601
