order,eta,Re,rho,omega,T,avg_TKE,max_abs_lift
3.0000000000e+00,-5.4923835983e-05,4.9162390170e+01,3.7584925789e-01,1.6872396045e+01,3.7239437070e-01,4.5061373568e-04,2.4193198568e-03
3.0000000000e+00,-5.8905849635e-05,4.9172016350e+01,3.8584925710e-01,1.6873169602e+01,3.7237729810e-01,4.7391102365e-04,2.4733927716e-03
3.0000000000e+00,-6.2991956605e-05,4.9181898080e+01,3.9584925627e-01,1.6873963446e+01,3.7235977950e-01,4.9771644325e-04,2.5274660402e-03
3.0000000000e+00,-6.7182121074e-05,4.9192035580e+01,4.0584925539e-01,1.6874777575e+01,3.7234181480e-01,5.2202238392e-04,2.5815395937e-03
3.0000000000e+00,-7.1476306330e-05,4.9202429090e+01,4.1584925447e-01,1.6875611987e+01,3.7232340450e-01,5.4682109717e-04,2.6356133628e-03
3.0000000000e+00,-7.5874474765e-05,4.9213078830e+01,4.2584925350e-01,1.6876466681e+01,3.7230454850e-01,5.7210470083e-04,2.6896872780e-03
3.0000000000e+00,-8.0376587880e-05,4.9223985040e+01,4.3584925249e-01,1.6877341654e+01,3.7228524710e-01,5.9786518349e-04,2.7437612692e-03
3.0000000000e+00,-8.4982606285e-05,4.9235147950e+01,4.4584925143e-01,1.6878236904e+01,3.7226550040e-01,6.2409440902e-04,2.7978352660e-03
3.0000000000e+00,-8.9692489704e-05,4.9246567830e+01,4.5584925032e-01,1.6879152430e+01,3.7224530870e-01,6.5078412120e-04,2.8519091979e-03
3.0000000000e+00,-9.4506196971e-05,4.9258244920e+01,4.6584924916e-01,1.6880088228e+01,3.7222467220e-01,6.7792594846e-04,2.9059829936e-03
3.0000000000e+00,-9.9423686038e-05,4.9270179480e+01,4.7584924795e-01,1.6881044298e+01,3.7220359100e-01,7.0551140869e-04,2.9600565817e-03
3.0000000000e+00,-1.0444491397e-04,4.9282371780e+01,4.8584924669e-01,1.6882020636e+01,3.7218206530e-01,7.3353191426e-04,3.0141298904e-03
3.0000000000e+00,-1.0956983696e-04,4.9294822090e+01,4.9584924538e-01,1.6883017240e+01,3.7216009540e-01,7.6197877703e-04,3.0682028474e-03
3.0000000000e+00,-1.1479841031e-04,4.9307530690e+01,5.0584924401e-01,1.6884034108e+01,3.7213768150e-01,7.9084321354e-04,3.1222753800e-03
3.0000000000e+00,-1.2013058844e-04,4.9320497870e+01,5.1584924259e-01,1.6885071238e+01,3.7211482370e-01,8.2011635027e-04,3.1763474153e-03
3.0000000000e+00,-1.2556632492e-04,4.9333723910e+01,5.2584924111e-01,1.6886128627e+01,3.7209152230e-01,8.4978922906e-04,3.2304188796e-03
3.0000000000e+00,-1.3110557242e-04,4.9347209100e+01,5.3584923958e-01,1.6887206272e+01,3.7206777760e-01,8.7985281258e-04,3.2844896992e-03
3.0000000000e+00,-1.3674828276e-04,4.9360953760e+01,5.4584923798e-01,1.6888304172e+01,3.7204358960e-01,9.1029798993e-04,3.3385597998e-03
3.0000000000e+00,-1.4249440687e-04,4.9374958180e+01,5.5584923633e-01,1.6889422323e+01,3.7201895880e-01,9.4111558238e-04,3.3926413265e-03
3.0000000000e+00,-1.4834389483e-04,4.9389222690e+01,5.6584923462e-01,1.6890560723e+01,3.7199388520e-01,9.7229634916e-04,3.4467255209e-03
3.0000000000e+00,-1.5429669583e-04,4.9403747600e+01,5.7584923285e-01,1.6891719370e+01,3.7196836920e-01,1.0038309934e-03,3.5008095965e-03
3.0000000000e+00,-1.6035275824e-04,4.9418533240e+01,5.8584923102e-01,1.6892898260e+01,3.7194241100e-01,1.0357101682e-03,3.5548934911e-03
3.0000000000e+00,-1.6651202952e-04,4.9433579940e+01,5.9584922912e-01,1.6894097391e+01,3.7191601080e-01,1.0679244827e-03,3.6089771424e-03
3.0000000000e+00,-1.7277445631e-04,4.9448888040e+01,6.0584922716e-01,1.6895316760e+01,3.7188916880e-01,1.1004645084e-03,3.6630604873e-03
3.0000000000e+00,-1.7913998438e-04,4.9464457880e+01,6.1584922513e-01,1.6896556364e+01,3.7186188540e-01,1.1333207854e-03,3.7171434625e-03
3.0000000000e+00,-1.8560855863e-04,4.9480289820e+01,6.2584922304e-01,1.6897816201e+01,3.7183416090e-01,1.1664838293e-03,3.7712260039e-03
3.0000000000e+00,-1.9218012314e-04,4.9496384210e+01,6.3584922088e-01,1.6899096267e+01,3.7180599530e-01,1.1999441371e-03,3.8253080471e-03
3.0000000000e+00,-1.9885462111e-04,4.9512741410e+01,6.4584921866e-01,1.6900396559e+01,3.7177738910e-01,1.2336921945e-03,3.8793895272e-03
3.0000000000e+00,-2.0563199493e-04,4.9529361800e+01,6.5584921636e-01,1.6901717075e+01,3.7174834250e-01,1.2677184822e-03,3.9334703785e-03
3.0000000000e+00,-2.1251218610e-04,4.9546245740e+01,6.6584921399e-01,1.6903057811e+01,3.7171885570e-01,1.3020134832e-03,3.9875505351e-03
3.0000000000e+00,-2.1949513531e-04,4.9563393630e+01,6.7584921155e-01,1.6904418764e+01,3.7168892910e-01,1.3365676899e-03,4.0416299304e-03
3.0000000000e+00,-2.2658078240e-04,4.9580805850e+01,6.8584920904e-01,1.6905799931e+01,3.7165856290e-01,1.3713716105e-03,4.0957084972e-03
3.0000000000e+00,-2.3376906638e-04,4.9598482800e+01,6.9584920646e-01,1.6907201310e+01,3.7162775740e-01,1.4064157772e-03,4.1497861680e-03
3.0000000000e+00,-2.4105992543e-04,4.9616424870e+01,7.0584920380e-01,1.6908622896e+01,3.7159651300e-01,1.4416907528e-03,4.2038628744e-03
3.0000000000e+00,-2.4845329687e-04,4.9634632470e+01,7.1584920107e-01,1.6910064686e+01,3.7156482980e-01,1.4771871386e-03,4.2579385476e-03
3.0000000000e+00,-2.5594911722e-04,4.9653106020e+01,7.2584919826e-01,1.6911526678e+01,3.7153270830e-01,1.5128955818e-03,4.3120131184e-03
