exp_1,exp_2,exp_3,R1_re,R1_im,R2_re,R2_im,R3_re,R3_im
4,0,2,2.3779790679856485,-5.093039478864484,-0.19315768456322915,-0.2899360706013226,0.0,0.0
3,3,0,0.00028886086119574015,-2.6142753481803224e-5,0.00028886086119574015,2.6142753481803224e-5,0.0,0.0
3,2,1,-20.20152991812201,-119.07904157995159,-0.06648542498163248,0.39684794390252304,0.0,0.0
3,1,2,-1139.8067005234377,546.6982984434022,0.8336774484280685,4.427479632144573,0.0,0.0
3,0,3,-22140.552741405256,30672.961522422745,710.7521847890753,-140.1208465789407,0.0,0.0
2,4,0,-2.8869450360498684e-6,5.322136830415362e-6,-0.0001503363814986648,-4.9652318317752485e-5,0.0,0.0
2,3,1,-0.06648542498163248,-0.39684794390252304,-20.20152991812201,119.07904157995159,0.0,0.0
2,2,2,1406.5371621816487,655.3446153597129,1406.5371621816485,-655.3446153597129,0.0,0.0
2,1,3,-1.775423814524993e7,-8.46443201355364e7,76319.22617817739,-63984.93798961232,0.0,0.0
2,0,4,-3.5202627094628954e8,1.768107145590276e8,-371881.2676658337,-296259.33012043405,0.0,0.0
1,5,0,3.133938135616648e-7,1.7299957898178097e-7,-3.814546140489291e-6,4.294997705755738e-6,0.0,0.0
1,4,1,-0.003553610444792752,-0.004597046193115348,0.4773145237269669,-0.5246014242668695,0.0,0.0
1,3,2,0.8336774484280685,-4.427479632144573,-1139.8067005234377,-546.6982984434022,0.0,0.0
1,2,3,76319.22617817739,63984.93798961232,-1.775423814524993e7,8.46443201355364e7,0.0,0.0
1,1,4,5.984247058961289e8,4.361820168402265e8,5.984247058961289e8,-4.361820168402265e8,0.0,0.0
1,0,5,1.4942838834067974e9,-2.930826493720868e9,-7.2537484212242565e9,-3.1995264804103565e9,0.0,0.0
0,6,0,1.0887522744747782e-8,-9.364586371967624e-9,-1.5654477940724923e-7,3.4034262253866666e-7,0.0,0.0
0,5,1,-3.1444330382150646e-5,-2.5191750799072544e-5,-0.021064099348199042,-0.03219293590408601,0.0,0.0
0,4,2,-0.19315768456322915,0.2899360706013226,2.3779790679856485,5.093039478864484,0.0,0.0
0,3,3,710.7521847890753,140.1208465789407,-22140.552741405256,-30672.961522422745,0.0,0.0
0,2,4,-371881.2676658337,296259.33012043405,-3.5202627094628954e8,-1.768107145590276e8,0.0,0.0
0,1,5,-7.2537484212242565e9,3.1995264804103565e9,1.4942838834067974e9,2.930826493720868e9,0.0,0.0
0,0,6,1.0781306675977637e11,-1.1084221659349976e10,1.0781306675977614e11,1.1084221659349922e10,0.0,0.0
7,0,0,-4.186210905734282e-7,5.042314286890806e-7,-1.8447341449620456e-10,-8.940918394523561e-10,0.0,0.0
6,1,0,-2.406939307228554e-5,2.4142778922610806e-5,3.9102757718413993e-8,1.0880418044914866e-7,0.0,0.0
6,0,1,0.0002874755715655076,-8.042144452371914e-5,8.549518331216716e-6,2.4261714043663258e-5,0.0,0.0
5,2,0,8.914569948468837e-5,0.00012120869793518334,-1.3672429982303994e-6,1.0306441165162382e-5,0.0,0.0
5,1,1,-0.0004598612477051951,-0.00415269395988703,0.0008383522650589211,-0.00015350463350809494,0.0,0.0
5,0,2,-4.183010522494654,-2.4004772604618547,0.005244674186755982,-0.04081475821301383,0.0,0.0
4,3,0,-0.007710360328652631,-0.023713151471870125,-0.00029363112534191413,0.00037582578879576226,0.0,0.0
4,2,1,-0.5730867228943991,0.30181299814442425,-0.0022399591695099284,-0.00025967977223097536,0.0,0.0
4,1,2,211.36342526354795,112.14757043749208,0.551279562286367,-2.676339276941879,0.0,0.0
4,0,3,53.92903435946952,-1026.1494795895624,-30.66468518457111,-141.35489434313777,0.0,0.0
3,4,0,-0.00029363112534191413,-0.00037582578879576226,-0.007710360328652631,0.023713151471870125,0.0,0.0
3,3,1,0.5956359284619605,0.10346982081849201,0.5956359284619605,-0.10346982081849201,0.0,0.0
3,2,2,-50266.82162880328,-230768.5358173935,336.7448428512334,146.30209058018076,0.0,0.0
3,1,3,-2.0461302145755186e6,1.098659632294627e6,-1230.8520321628064,-1824.5265565038405,0.0,0.0
3,0,4,-1.5380212072182454e7,4.1128746857544646e7,-26127.79848234572,143946.39152290463,0.0,0.0
2,5,0,-1.3672429982303994e-6,-1.0306441165162382e-5,8.914569948468837e-5,-0.00012120869793518334,0.0,0.0
2,4,1,-0.0022399591695099284,0.00025967977223097536,-0.5730867228943991,-0.30181299814442425,0.0,0.0
2,3,2,336.7448428512334,-146.30209058018076,-50266.82162880328,230768.5358173935,0.0,0.0
2,2,3,2.7007276004074756e6,1.2606385730701508e6,2.700727600407475e6,-1.2606385730701506e6,0.0,0.0
2,1,4,-1.5671245986792107e10,-7.421376203531299e10,-9.820182055881815e6,-4.914159267016645e7,0.0,0.0
2,0,5,-3.0702556798340094e11,1.5366470463415845e11,-2.222051592333173e8,2.835519669854956e8,0.0,0.0
