exp_1,exp_2,exp_3,L_re,L_im
2,5,1,2.76182484224688e-5,1.1420565080115595e-5
2,4,2,-0.5834503220976553,-0.2508940446958419
2,3,3,-53780.27540816099,-106883.05245686992
2,2,4,1.509390216161852e8,-4.531487433364964e-9
2,1,5,-3.169246998441971e9,1.272448798701015e10
2,0,6,-4.091428250805591e10,3.94765540064201e10
1,7,0,-1.3598944888686811e-11,2.379310015919606e-12
1,6,1,1.2513268114163677e-8,-8.944011224821106e-7
1,5,2,0.0009481975666358689,-0.00023689670353022312
1,4,3,8.186602960827368,-52.01203589894671
1,3,4,-906129.3894497261,-577622.8516251424
1,2,5,-3.169246998441971e9,-1.272448798701015e10
1,1,6,7.403093184656203e12,-0.00039057722721383523
1,0,7,2.9130465635444812e13,1.785378879684053e13
0,8,0,3.957733190320974e-14,4.674548879798431e-14
0,7,1,2.142367682136479e-9,8.752473021165877e-9
0,6,2,-5.9861166894784805e-6,-1.294560271751185e-6
0,5,3,0.032926069041051914,-0.018903637115671057
0,4,4,-37.63090463967501,-186.3385771038868
0,3,5,-3.624427828163842e6,-6.124514728133835e6
0,2,6,-4.091428250805591e10,-3.94765540064201e10
0,1,7,2.9130465635444812e13,-1.785378879684053e13
0,0,8,1.578583768991305e14,0.09506333302118894
9,0,0,-3.518912158277015e-14,-3.885051317600939e-14
8,1,0,2.6745240072298717e-13,-1.3076104145864708e-11
8,0,1,-7.992623261791467e-11,5.141831666302e-11
7,2,0,1.7044833724964966e-10,3.1810383114581334e-10
7,1,1,-1.6282119636282886e-8,9.85129627509432e-9
7,0,2,-8.953762140229718e-8,5.66173224318415e-7
6,3,0,1.8023173732589556e-8,-1.5042894942156172e-9
6,2,1,9.478966317973079e-7,-7.263743576051309e-8
6,1,2,-0.00019098519209372923,0.00033001147198651867
6,0,3,-0.0026861406018802436,0.0003517652630714227
5,4,0,-6.9934267993062026e-6,9.67559413445297e-6
5,3,1,-0.00022717548462470222,4.759403183112837e-5
5,2,2,0.08134965090042674,0.05414644141878611
5,1,3,1.63409708319866,0.5483047694761654
5,0,4,3.0672720885665754,44.5781552498273
4,5,0,-6.9934267993062026e-6,-9.67559413445297e-6
4,4,1,0.08104459894013616,9.673208561871922e-19
4,3,2,-118.91644120203892,193.97460464138763
4,2,3,-2779.769303849516,1444.57912919524
4,1,4,-30562.954173718765,114812.86711358507
4,0,5,-305531.0174920779,361476.35630039615
3,6,0,1.8023173732589556e-8,1.5042894942156172e-9
3,5,1,-0.00022717548462470222,-4.759403183112837e-5
3,4,2,-118.91644120203892,-193.97460464138763
3,3,3,527256.7576542767,1.90247913093203e-11
3,2,4,-1.1651204049168815e8,2.4678673075968647e8
3,1,5,-2.0452785536760397e9,1.364255972878082e9
3,0,6,-6.804641303833252e9,6.470709987556762e9
2,7,0,1.7044833724964966e-10,-3.1810383114581334e-10
2,6,1,9.478966317973079e-7,7.263743576051309e-8
2,5,2,0.08134965090042674,-0.05414644141878611
2,4,3,-2779.769303849516,-1444.57912919524
2,3,4,-1.1651204049168815e8,-2.4678673075968647e8
2,2,5,3.361727691144009e11,-2.1225900664137673e-5
2,1,6,-1.7821074594230469e12,1.3821352508193973e13
2,0,7,-3.980200240542978e13,4.3631661417171875e13
1,8,0,2.6745240072298717e-13,1.3076104145864708e-11
1,7,1,-1.6282119636282886e-8,-9.85129627509432e-9
1,6,2,-0.00019098519209372923,-0.00033001147198651867
1,5,3,1.63409708319866,-0.5483047694761654
1,4,4,-30562.954173718765,-114812.86711358507
1,3,5,-2.0452785536760397e9,-1.364255972878082e9
1,2,6,-1.7821074594230469e12,-1.3821352508193973e13
1,1,7,7.52125406023472e15,0.14791617886286876
1,0,8,2.956094477607917e16,1.812936333498803e16
0,9,0,-3.518912158277015e-14,3.885051317600939e-14
0,8,1,-7.992623261791467e-11,-5.141831666302e-11
0,7,2,-8.953762140229718e-8,-5.66173224318415e-7
0,6,3,-0.0026861406018802436,-0.0003517652630714227
0,5,4,3.0672720885665754,-44.5781552498273
0,4,5,-305531.0174920779,-361476.35630039615
0,3,6,-6.804641303833252e9,-6.470709987556762e9
0,2,7,-3.980200240542978e13,-4.3631661417171875e13
0,1,8,2.956094477607917e16,-1.812936333498803e16
0,0,9,1.5994673217016576e17,-22.115237280108296
