sample,radii_r1,radii_master_r1,force_errors_r1,state_errors_r1,radii_r2,radii_master_r2,force_errors_r2,state_errors_r2,radii_r3,radii_master_r3,force_errors_r3,state_errors_r3,radii_r4,radii_master_r4,force_errors_r4,state_errors_r4,radii_r5,radii_master_r5,force_errors_r5,state_errors_r5,radii_r6,radii_master_r6,force_errors_r6,state_errors_r6,radii_r7,radii_master_r7,force_errors_r7,state_errors_r7,radii_r8,radii_master_r8,force_errors_r8,state_errors_r8,radii_r9,radii_master_r9,force_errors_r9,state_errors_r9,radii_r10,radii_master_r10,force_errors_r10,state_errors_r10,radii_r11,radii_master_r11,force_errors_r11,state_errors_r11
83,0.3090912179306263,0.30909076711239675,8.589040766821429e-7,0.03363087224723135,1.3454485767635558,1.3454485111653094,0.0043287659503883046,266.68618103923285,0.9532036866928519,0.9532036351449541,8.472805869486974e-5,3.8662213442020117,1.3336829844765834,1.3336829682697044,0.0007903681498332664,37.369862535115544,0.8080597455377441,0.8080597389184878,2.6239113113660707e-6,0.087704529950367,0.411665583352753,0.411665583352753,1.1161176013464897e-9,2.2948145451659988e-5,0.8494838359845509,0.849483829814534,2.7335551424158344e-6,0.02461393915773548,0.3216809129971607,0.3216808484757409,2.8177775051504115e-7,0.00018618443064993202,0.12424203379488001,0.12424166166599714,1.6267077276008158e-7,3.548928141864839e-5,0.9684687723957497,0.9684686883676716,0.00010209048696579265,1.5583392571276315,0.6842573033748556,0.6842571193809572,2.3871508730567637e-5,0.5491062928692775
84,0.8376706497414794,0.8376704833946367,0.0001692131244327628,11.347199340576363,0.9665282151196466,0.9665281238040824,0.0002234265973235753,12.626530780865288,0.7024308978796234,0.7024308279287607,7.9271454546508e-6,0.3388250299108855,0.6113709671672184,0.6113709318125151,1.0337786564359505e-6,0.034151309858323244,1.0345088815943198,1.0345088764239876,2.608289788029703e-5,0.944365172922061,0.5929483191283835,0.5929483191283835,4.2701652168481665e-8,0.0008951764317054993,1.1377453041063268,1.137745299499558,3.695511631026192e-5,0.185355219097821,0.5665864450457945,0.5665864084135948,6.093813753569798e-7,0.007144184844164628,0.9397764067825877,0.939776357585799,3.8855004455820736e-5,0.5365294444450777,0.3582036492615398,0.3582034220762723,6.778294944197763e-7,0.006962495924133786,0.959554875451215,0.95955474424542,0.0001879784126868185,3.2056459237555566
85,1.6616007482808166,1.6616006644196017,0.08656091138776031,6557.258966789126,1.1087648973390192,1.1087648177377725,0.0007081447222828436,41.46070028502043,0.5464749549684943,0.5464748650546775,1.5330712900368468e-6,0.057090543983973244,1.357204163696192,1.3572041477701882,0.0009480811535750157,45.06062039597899,0.47876130749042894,0.47876129631835956,2.1319239374854257e-7,0.0008866499916322376,1.0245267521024561,1.0245267521024561,1.0013235519845155e-5,0.2360147000276447,0.7467478112835476,0.7467478042646725,9.321580684005897e-7,0.00961383695294225,0.9244308351056235,0.9244308126536384,1.4523655056494729e-5,0.15389604210034924,0.12645293661627316,0.12645257099370968,1.6781854461401102e-7,4.4303793903729174e-5,1.4419564265238618,1.4419563700876434,0.0018445942128300628,16.05319801975903,0.44336446423899334,0.44336418027579333,2.3397350700093065e-6,0.057812444603353566
86,2.172133807190694,2.172133743040016,2.150433888492027,163750.51239053608,0.3769499837463615,0.3769497496062997,8.056966238721041e-7,0.024314147003147532,0.5319959288821716,0.531995836521222,1.332605169242323e-6,0.04769416483049548,0.5619067473778414,0.5619067089108906,6.771696776271614e-7,0.01796512792296876,1.013511914956302,1.013511909678856,2.1434179596854002e-5,0.7706010453741114,1.7727484526718962,1.7727484526718962,0.003327635914411219,124.54784574229686,0.7077395387578899,0.7077395313521575,6.305268204009663e-7,0.0065115695650703855,0.255744864104815,0.2557447829485012,2.254573441523934e-7,4.349698902143849e-5,1.4726924604461034,1.4726924290519179,0.0012761843261037242,12.46375859949847,1.3441670254455889,1.344166964903583,0.0010440600404162475,1.8453826956518273,1.5767072564145934,1.5767071765651768,0.0077654124576113275,171.681216348682
87,0.699414487373197,0.6994142881438754,4.898461701168705e-5,3.195823569523299,1.4331703334544539,1.4331702718713573,0.008265531170523718,515.4564142849691,0.1401023408470779,0.14010199013411956,1.8645086135928044e-7,3.8224131046680186e-5,0.7734335851855303,0.7734335572389305,5.7439679837118075e-6,0.2275283476774161,0.7238835788971326,0.723883571508162,1.013918018133571e-6,0.03181680522157368,0.8960243628179386,0.8960243628179386,2.6017029719589424e-6,0.05894407605837924,0.8829965683684746,0.8829965624326308,3.829886157006001e-6,0.03250891274045157,0.8615635907126806,0.8615635666224015,8.356349902311136e-6,0.10222153738580904,0.7583980545912102,0.758397993628525,8.492839995133586e-6,0.15546089310591385,1.3202672773805306,1.320267215742581,0.0009091738143429775,0.961415199842818,1.6726044607863804,1.672604385515055,0.01559983544056754,420.5481168653945
88,0.5549138451904357,0.5549135940813911,1.1556541210660442e-5,0.7429778371175688,1.2690937626473513,1.269093693102397,0.002436976699523659,148.3214233816451,0.31992175994865973,0.31992160636218053,4.2669713484638805e-7,0.0021488099086800698,0.8054765581812742,0.8054765313464287,8.006688417867202e-6,0.3206131165344842,0.993467312433482,0.9934673070495559,1.770834041737518e-5,0.6328350284327268,0.5273606677086994,0.5273606677086994,1.3244701328630473e-8,0.0002753623220101864,0.6698111240433587,0.6698111162182727,4.500349352604222e-7,0.004314186351478057,0.99770731586239,0.9977072950593879,2.676393351443227e-5,0.2295670793605436,0.26521315192705747,0.26521297759937096,3.520582454827122e-7,0.00036981437630291027,1.070313487695753,1.0703134116632915,0.00020309996732186347,2.454764440899631,2.5388706629456093,2.5388706133569654,4.907702436381878,156217.3833880671
89,1.5167391681903382,1.5167390763196584,0.031808978143443585,2391.087850144225,2.3510992852397403,2.351099247700251,3.1760787431948008,203817.2230044072,0.5531990580695245,0.5531989692486053,1.63462620070211e-6,0.061873844339651506,0.5035063036230315,0.5035062606943942,4.886032148480384e-7,0.007985189060225875,0.7147523338383156,0.7147523263549479,9.148052439705347e-7,0.028355803947715502,1.9076199329940546,1.9076199329940546,0.008247292484589283,327.7821394818302,1.3525846573704805,1.352584653495433,0.00017956053649776898,0.46919497904092633,0.14300322151849598,0.14300307637968407,1.2462380495078413e-7,2.0561227053426094e-5,0.46801586937143536,0.4680157705842191,7.055912906329331e-7,0.008886936012402697,1.237834823185866,1.2378347574431943,0.0005648889668049958,2.8655187150671035,0.6904669246483691,0.6904667423091957,2.5225806769179626e-5,0.5760798564311186
90,0.8629574779187512,0.8629573164462909,0.0002102500954914116,14.168054078438951,0.5404750510823737,0.540474887783294,3.854243769518188e-6,0.19708185016431765,1.2954664951996784,1.2954664572707582,0.0013477945708242646,67.64047525111253,0.5097647295853018,0.5097646871837033,5.085415592516346e-7,0.008627948217863916,0.4073319575512737,0.40733194442008064,1.7990910697798616e-7,0.0002460027306061624,1.216406002994785,1.216406002994785,5.6689864750800717e-5,1.4682492548301214,1.4216334214298358,1.4216334177429995,0.00028277143235837715,0.5446070209883507,0.7421307388108966,0.7421307108437117,2.6993986157108806e-6,0.04052147660675812,0.6137955652509276,0.6137954899262015,2.1581075281223424e-6,0.04360593383936146,0.6035868858566728,0.6035867510317171,4.9503803950956785e-6,0.11342795007939047,1.05097281670356,1.0509726969105864,0.0003347917170939922,4.755138009237633
91,0.4609849799937264,0.46098467771945334,4.080629165813098e-6,0.25705073688043817,0.5734838161446582,0.5734836622448019,5.525488974071797e-6,0.28660005428732266,0.8564118873893478,0.8564118300154985,3.565398702980023e-5,1.5830982401276152,0.5758490582491153,0.5758490207135165,7.609052024293951e-7,0.021692091548033837,1.4298026821668743,1.4298026784259703,0.0006963530612571394,28.939481884720262,0.8115681238705846,0.8115681238705846,9.678303941570247e-7,0.021412933851356616,1.238326919497895,1.2383269152653054,7.955876078204175e-5,0.3088516457956508,1.3225814291125706,1.3225814134195428,0.00027752388356340767,0.6373214653614299,0.8875225517619311,0.8875224996686278,2.575294583974472e-5,0.3904142347876684,1.8198479548162962,1.819847910099062,0.023864494746832412,717.9274872824321,0.6453042390154019,0.6453040439149157,1.697060178069473e-5,0.40159467651075836
92,1.5450872345918791,1.5450871444067718,0.0388368747785029,2923.302245385172,0.7551156290510065,0.7551155121694739,3.468438108457811e-5,1.8633696415965928,1.6523316272319641,1.652331597494807,0.018494255057211438,979.1698427652382,1.1797181765580633,1.1797181582360277,0.00023417718532298901,10.573553135337457,1.522977112490511,1.5229771089784723,0.0014015729201120734,60.03820670340284,1.1684528861789765,1.1684528861789765,3.762604801888948e-5,0.9496416311138912,0.5321844578678611,0.5321844480191523,2.3962275071892276e-7,0.0007712289827304527,0.424110828216909,0.42411077927850194,3.769020506914532e-7,0.001073763235956576,0.5935250520064809,0.5935249741092078,1.7833488364215158e-6,0.03562439223911052,0.38368029479612825,0.3836800826961334,7.525114466263722e-7,0.009939428716043435,0.9270978552302757,0.9270977194310608,0.00015190821302239876,2.711095611169834
93,1.1523945768208215,1.1523944559040245,0.00215690191442418,155.41845833436832,0.9065446581482376,0.9065445607905741,0.00013502779550847652,7.491275899581209,0.624958791496915,0.6249587128746943,3.4952027667699297e-6,0.1447306262926906,1.0392239241236934,1.039223903324674,7.205956879931831e-5,3.1061003867045813,1.4394060066867644,1.4394060029708187,0.0007496020686037299,31.23379601892235,1.5262285889497105,1.5262285889497105,0.0006049755364722952,19.346084960418793,0.6480536761403544,0.6480536680525526,3.8215595634665503e-7,0.003405808953237538,0.5815306655761279,0.5815306298853054,6.623272419638381e-7,0.008369132577499407,0.7155209158513953,0.7155208512355595,5.707696082903236e-6,0.10974861556243033,0.5465496484104166,0.5465494995152936,2.8284082388556557e-6,0.06532265891976895,0.8553405598589879,0.8553404126671342,9.191655170905472e-5,1.800333660856476
