theta1,theta2,w_mid,omega0_exact,omega0_param,rel_err
0.250000,1.200000,1.199675,0.34752551,0.33568047,3.408395e-02
-0.167000,1.440000,1.439610,0.78574875,0.76150319,3.085663e-02
-0.150320,1.440000,1.439610,0.75521857,0.73633702,2.500145e-02
-0.133640,1.440000,1.439610,0.72643361,0.71206835,1.977505e-02
-0.116960,1.440000,1.439610,0.69926336,0.68865287,1.517381e-02
-0.100280,1.440000,1.439610,0.67358929,0.66604926,1.119382e-02
-0.083600,1.440000,1.439610,0.64930356,0.64421917,7.830523e-03
-0.066920,1.440000,1.439610,0.62630786,0.62312727,5.078317e-03
-0.050240,1.440000,1.439610,0.60451242,0.60274117,2.930047e-03
-0.033560,1.440000,1.439610,0.58383516,0.58303151,1.376514e-03
-0.016880,1.440000,1.439610,0.56420089,0.56397188,4.059115e-04
-0.000200,1.440000,1.439610,0.54554064,0.54553888,3.219078e-06
0.016480,1.440000,1.439610,0.52779102,0.52771209,1.495498e-04
0.033160,1.440000,1.439610,0.51089376,0.51047408,8.214559e-04
0.049840,1.440000,1.439610,0.49479513,0.49381040,1.990185e-03
0.066520,1.440000,1.439610,0.47944560,0.47770958,3.620894e-03
0.083200,1.440000,1.439610,0.46479941,0.46216316,5.671808e-03
0.099880,1.440000,1.439610,0.45081423,0.44716564,8.093352e-03
0.116560,1.440000,1.439610,0.43745089,0.43271451,1.082721e-02
0.133240,1.440000,1.439610,0.42467305,0.41881027,1.380538e-02
0.149920,1.440000,1.439610,0.41244701,0.40545639,1.694914e-02
0.166600,1.440000,1.439610,0.40074145,0.39265931,2.016795e-02
0.183280,1.440000,1.439610,0.38952724,0.38042849,2.335843e-02
0.199960,1.440000,1.439610,0.37877726,0.36877635,2.640314e-02
0.216640,1.440000,1.439610,0.36846624,0.35771831,2.916938e-02
0.233320,1.440000,1.439610,0.35857060,0.34727276,3.150799e-02
0.250000,1.440000,1.439610,0.34906833,0.33746110,3.325202e-02
-0.167000,1.680000,1.679545,0.78982798,0.76520732,3.117219e-02
-0.150320,1.680000,1.679545,0.75913956,0.73994036,2.529074e-02
-0.133640,1.680000,1.679545,0.73020537,0.71557391,2.003747e-02
-0.116960,1.680000,1.679545,0.70289425,0.69206367,1.540856e-02
-0.100280,1.680000,1.679545,0.67708706,0.66936831,1.139994e-02
-0.083600,1.680000,1.679545,0.65267539,0.64744949,8.006884e-03
-0.066920,1.680000,1.679545,0.62956042,0.62627186,5.223568e-03
-0.050240,1.680000,1.679545,0.60765193,0.60580306,3.042636e-03
-0.033560,1.680000,1.679545,0.58686740,0.58601370,1.454671e-03
-0.016880,1.680000,1.679545,0.56713127,0.56687740,4.476421e-04
-0.000200,1.680000,1.679545,0.54837419,0.54837074,6.303765e-06
0.016480,1.680000,1.679545,0.53053248,0.53047330,1.115465e-04
0.033160,1.680000,1.679545,0.51354753,0.51316765,7.397065e-04
0.049840,1.680000,1.679545,0.49736536,0.49643935,1.861820e-03
0.066520,1.680000,1.679545,0.48193616,0.48027693,3.442850e-03
0.083200,1.680000,1.679545,0.46721395,0.46467191,5.440841e-03
0.099880,1.680000,1.679545,0.45315618,0.44961881,7.806064e-03
0.116560,1.680000,1.679545,0.43972346,0.43511512,1.048008e-02
0.133240,1.680000,1.679545,0.42687929,0.42116134,1.339477e-02
0.149920,1.680000,1.679545,0.41458977,0.40776091,1.647136e-02
0.166600,1.680000,1.679545,0.40282344,0.39492032,1.961931e-02
0.183280,1.680000,1.679545,0.39155100,0.38264899,2.273525e-02
0.199960,1.680000,1.679545,0.38074520,0.37095935,2.570183e-02
0.216640,1.680000,1.679545,0.37038064,0.35986683,2.838649e-02
0.233320,1.680000,1.679545,0.36043361,0.34938982,3.064029e-02
0.250000,1.680000,1.679545,0.35088199,0.33954971,3.229655e-02
-0.167000,1.920000,1.919479,0.79450594,0.76946007,3.152384e-02
-0.150320,1.920000,1.919479,0.76363605,0.74407681,2.561331e-02
-0.133640,1.920000,1.919479,0.73453075,0.71959754,2.033027e-02
-0.116960,1.920000,1.919479,0.70705808,0.69597796,1.567074e-02
-0.100280,1.920000,1.919479,0.68109823,0.67317674,1.163047e-02
-0.083600,1.920000,1.919479,0.65654212,0.65115553,8.204486e-03
-0.066920,1.920000,1.919479,0.63329038,0.62987900,5.386760e-03
-0.050240,1.920000,1.919479,0.61125225,0.60931477,3.169688e-03
-0.033560,1.920000,1.919479,0.59034472,0.58943346,1.543606e-03
-0.016880,1.920000,1.919479,0.57049177,0.57020868,4.962258e-04
-0.000200,1.920000,1.919479,0.55162367,0.55161702,1.204728e-05
0.016480,1.920000,1.919479,0.53367633,0.53363807,7.170450e-05
0.033160,1.920000,1.919479,0.51659083,0.51625438,6.512840e-04
0.049840,1.920000,1.919479,0.50031284,0.49945151,1.721583e-03
0.066520,1.920000,1.919479,0.48479229,0.48321801,3.247338e-03
0.083200,1.920000,1.919479,0.46998290,0.46754538,5.186394e-03
0.099880,1.920000,1.919479,0.45584188,0.45242816,7.488835e-03
0.116560,1.920000,1.919479,0.44232961,0.43786382,1.009607e-02
0.133240,1.920000,1.919479,0.42940937,0.42385286,1.293989e-02
0.149920,1.920000,1.919479,0.41704706,0.41039874,1.594141e-02
0.166600,1.920000,1.919479,0.40521103,0.39750793,1.901009e-02
0.183280,1.920000,1.919479,0.39387182,0.38518986,2.204259e-02
0.199960,1.920000,1.919479,0.38300201,0.37345697,2.492165e-02
0.216640,1.920000,1.919479,0.37257605,0.36232467,2.751487e-02
0.233320,1.920000,1.919479,0.36257009,0.35181135,2.967354e-02
0.250000,1.920000,1.919479,0.35296189,0.34193842,3.123132e-02
-0.167000,2.160000,2.159414,0.79977092,0.77425233,3.190738e-02
-0.150320,2.160000,2.159414,0.76869679,0.74873726,2.596541e-02
-0.133640,2.160000,2.159414,0.73939890,0.72413014,2.065023e-02
-0.116960,2.160000,2.159414,0.71174443,0.70038663,1.595768e-02
-0.100280,2.160000,2.159414,0.68561275,0.67746543,1.188326e-02
-0.083600,2.160000,2.159414,0.66089410,0.65532819,8.421777e-03
-0.066920,2.160000,2.159414,0.63748842,0.63393956,5.566939e-03
-0.050240,2.160000,2.159414,0.61530438,0.61326718,3.310876e-03
-0.033560,2.160000,2.159414,0.59425841,0.59328166,1.643641e-03
-0.016880,2.160000,2.159414,0.57427399,0.57395661,5.526640e-04
-0.000200,2.160000,2.159414,0.55528093,0.55526862,2.215441e-05
0.016480,2.160000,2.159414,0.53721472,0.53719728,3.246282e-05
0.033160,2.160000,2.159414,0.52001604,0.51972515,5.593893e-04
0.049840,2.160000,2.159414,0.50363023,0.50283778,1.573469e-03
0.066520,2.160000,2.159414,0.48800686,0.48652372,3.039179e-03
0.083200,2.160000,2.159414,0.47309935,0.47077447,4.914135e-03
0.099880,2.160000,2.159414,0.45886463,0.45558457,7.148221e-03
0.116560,2.160000,2.159414,0.44526283,0.44095150,9.682674e-03
0.133240,2.160000,2.159414,0.43225697,0.42687574,1.244914e-02
0.149920,2.160000,2.159414,0.41981274,0.41336077,1.536868e-02
0.166600,2.160000,2.159414,0.40789827,0.40041305,1.835070e-02
0.183280,2.160000,2.159414,0.39648391,0.38804202,2.129189e-02
0.199960,2.160000,2.159414,0.38554205,0.37626010,2.407509e-02
0.216640,2.160000,2.159414,0.37504699,0.36508271,2.656808e-02
