order,eta,Re,rho,omega,St,max_abs_lift
3,-0.00026479161957926995,49.67491617891167,0.7374749498997996,16.913252546191885,0.26918277464880236,0.003982332472695589
3,-0.0002709695814108896,49.6901655807156,0.7454909819639278,16.91445788798506,0.26920195825925225,0.004025566002637005
3,-0.0002772132496194357,49.70558668466196,0.7535070140280561,16.915676203858478,0.26922134835860245,0.004068797337701074
3,-0.00028352258986665164,49.721179716913,0.7615230460921844,16.91690749201523,0.26924094491825423,0.004112026439583244
3,-0.0002898975674774065,49.736944906343496,0.7695390781563126,16.918151750640764,0.269260747909328,0.004155253269751491
3,-0.00029633814744062557,49.752882484550604,0.7775551102204409,16.919408977902958,0.2692807573026649,0.004198477789444275
3,-0.0003028442944102305,49.76899268586366,0.7855711422845691,16.920679171952155,0.2693009730688264,0.004241699959668509
3,-0.0003094159727060858,49.78527574735426,0.7935871743486974,16.92196233092122,0.2693213951780964,0.004284919741197538
3,-0.00031605314631495435,49.801731908846364,0.8016032064128257,16.92325845292558,0.26934202360048076,0.004328137094569141
3,-0.0003227557788914591,49.81836141292657,0.8096192384769539,16.924567536063293,0.2693628583057093,0.004371351980083521
3,-0.00032952383375905395,49.83516450495451,0.8176352705410822,16.925889578415074,0.2693838992632356,0.004414564357801305
3,-0.0003363572739110013,49.852141433073385,0.8256513026052105,16.927224578044363,0.2694051464422383,0.004457774187541568
3,-0.0003432560620113578,49.86929244822061,0.8336673346693386,16.928572532997386,0.26942659981162215,0.00450098142887985
3,-0.0003502201603959669,49.886617804138574,0.8416833667334669,16.929933441303167,0.26944825934001815,0.0045441860411461945
3,-0.00035724953107345926,49.9041177573856,0.8496993987975952,16.931307300973632,0.26947012499578504,0.004587387983423183
3,-0.0003643441357262606,49.921792567346934,0.8577154308617234,16.932694110003627,0.26949219674700986,0.004630587214543981
3,-0.00037150393571160626,49.93964249624598,0.8657314629258517,16.934093866370972,0.2695144745615086,0.00467378369309041
3,-0.00037872889206256417,49.957667809155545,0.87374749498998,16.935506568036544,0.2695369584068276,0.0047169773773910045
3,-0.00038601896548906344,49.975868774009356,0.8817635270541082,16.936932212944296,0.26955964825024387,0.004760168225519095
3,-0.00039337411637893144,49.99424566161359,0.8897795591182365,16.938370799021317,0.26958254405876597,0.004803356195290877
3,-0.0004007943047989373,50.01279874565858,0.8977955911823647,16.93982232417792,0.26960564579913554,0.0048465412442635376
3,-0.00040827949049584245,50.03152830273072,0.905811623246493,16.94128678630765,0.2696289534378273,0.004889723329733324
3,-0.0004158296328974582,50.050434612324395,0.9138276553106213,16.942764183287366,0.26965246694105033,0.004932902408733679
3,-0.00042344469111370997,50.069517956854135,0.9218436873747495,16.944254512977306,0.2696761862747494,0.004976078438033351
3,-0.0004311246239377091,50.088778621666904,0.9298597194388778,16.945757773221107,0.26970011140460487,0.005019251374134541
3,-0.00043886938984682983,50.10821689505446,0.9378757515030061,16.947273961845905,0.2697242422960345,0.005062421173271023
3,-0.000446678947003795,50.12783306826595,0.9458917835671342,16.948803076662358,0.26974857891419385,0.005105587791406309
3,-0.0004545532532577666,50.147627435520555,0.9539078156312625,16.950345115464714,0.2697731212239773,0.00514875118423181
3,-0.0004624922661454442,50.16760029402037,0.9619238476953907,16.951900076030874,0.269797869190019,0.005191911307164992
3,-0.00047049594289216856,50.18775194396333,0.969939879759519,16.95346795612245,0.26982282277669395,0.005235068115347566
3,-0.00047856424041303313,50.20808268855638,0.9779559118236473,16.955048753484807,0.26984798194811854,0.005278221563643681
3,-0.0004866971153140005,50.22859283402872,0.9859719438877755,16.956642465847143,0.26987334666815177,0.005321371606638101
3,-0.0004948945238930262,50.24928268964522,0.9939879759519038,16.958249090922543,0.26989891690039636,0.005364518198634432
3,-0.0005031564221411885,50.27015256772001,1.002004008016032,16.959868626408014,0.2699246926081989,0.00540766129365334
3,-0.0005114827657438241,50.29120278363015,1.0100200400801602,16.96150106998458,0.26995067375465176,0.005450800845430774
3,-0.0005198735100816694,50.312433655829516,1.0180360721442885,16.963146419317322,0.26997686030259366,0.005493936807416188
3,-0.0005283286102320097,50.333845505862826,1.0260521042084167,16.96480467205544,0.27000325221461036,0.005537069132770814
3,-0.0005368480209698319,50.355438658379796,1.034068136272545,16.96647582583231,0.27002984945303593,0.005580197774365912
3,-0.0005454316967689853,50.37721344114944,1.0420841683366733,16.968159878265553,0.2700566519799536,0.00562332268478102
3,-0.000554079591803347,50.39917018507461,1.0501002004008015,16.969856826957102,0.27008365975719695,0.0056664438163022465
3,-0.0005627916599479924,50.42130922420652,1.0581162324649298,16.97156666949324,0.27011087274635043,0.005709603678187717
3,-0.0005715678547803745,50.44363089575965,1.066132264529058,16.97328940344468,0.27013829090875086,0.005752760864418646
3,-0.0005804081295815039,50.46613554012661,1.0741482965931863,16.975025026366623,0.2701659142054879,0.005795915087574086
3,-0.0005893124373371395,50.488823500893275,1.0821643286573146,16.97677353579883,0.2701937425974058,0.005839066305133701
3,-0.0005982807307389817,50.511695124854064,1.0901803607214429,16.978534929265646,0.27022177604510317,0.005882214474257217
3,-0.0006073129621858707,50.53475076202732,1.0981963927855711,16.980309204276114,0.2702500145089352,0.005925359551782657
3,-0.0006164090837849927,50.557990765670965,1.1062124248496994,16.982096358324018,0.27027845794901423,0.005968501494224562
3,-0.0006255690473530884,50.5814154922982,1.1142284569138277,16.98389638888792,0.27030710632521043,0.006011640257772256
3,-0.0006347928044176701,50.60502530169343,1.122244488977956,16.985709293431274,0.27033595959715323,0.006054775798288134
3,-0.0006440803062182395,50.628820556928396,1.1302605210420842,16.98753506940244,0.2703650177242322,0.006097908071305914
3,-0.0006534315037075158,50.65280162437836,1.1382765531062125,16.98937371423478,0.2703942806655979,0.006141037032028941
3,-0.0006628463475526642,50.67696887373858,1.1462925851703407,16.991225225346717,0.27042374838016336,0.006184162635328478
3,-0.0006723247881365331,50.70132267804087,1.154308617234469,16.99308960014179,0.2704534208266045,0.00622728483574202
3,-0.0006818667755588924,50.72586341367039,1.1623246492985972,16.994966836008725,0.27048329796336174,0.006270403587471623
3,-0.0006914722596376811,50.75059146038257,1.1703406813627255,16.996856930321503,0.2705133797486406,0.006313518844382232
3,-0.0007011411899102548,50.77550720132021,1.1783567134268538,16.99875988043942,0.270543666140413,0.006356630560000026
3,-0.0007108735156346425,50.8006110230308,1.186372745490982,17.000675683707147,0.27057415709641797,0.006399738687510767
3,-0.0007206691857908048,50.82590331548393,1.1943887775551103,17.002604337454823,0.2706048525741635,0.006442843179758192
3,-0.0007305281490818971,50.85138447208901,1.2024048096192386,17.004545838998084,0.2706357525309266,0.006485943989242363
3,-0.0007404503539355393,50.87705488971302,1.2104208416833668,17.006500185638153,0.2706668569237548,0.0065290410681180695
3,-0.000750435748505088,50.90291496869855,1.218436873747495,17.008467374661905,0.2706981657094674,0.006572134368193234
3,-0.0007604842806709127,50.928965112882,1.2264529058116231,17.010447403341924,0.2707296788446563,0.006615223840927324
3,-0.000770595898041679,50.955205729611905,1.2344689378757514,17.012440268936576,0.27076139628568696,0.006658309437429763
3,-0.0007807705479556317,50.98163722976755,1.2424849699398797,17.01444596869008,0.27079331798869977,0.006701391108458387
3,-0.0007910081774818873,51.008260027777666,1.250501002004008,17.01646449983257,0.270825443909611,0.006744468804417871
3,-0.0008013087334217248,51.0350745416394,1.2585170340681362,17.01849585958016,0.2708577740041137,0.006787542475358206
3,-0.0008116721623098862,51.06208119293743,1.2665330661322645,17.020540045135025,0.27089030822767907,0.0068306120709731594
3,-0.0008220984104158763,51.08928040686324,1.2745490981963927,17.022597053685455,0.2709230465355574,0.006873677540598757
3,-0.0008325874237452693,51.116672612234716,1.282565130260521,17.024666882405917,0.27095598888277894,0.006916738833211783
3,-0.0008431391480410176,51.14425824151576,1.2905811623246493,17.02674952845716,0.2709891352241555,0.006959795897428271
3,-0.0008537535287847658,51.17203773083625,1.2985971943887775,17.028844988986236,0.2710224855142812,0.007002848681502036
3,-0.0008644305111981661,51.20001152001216,1.3066132264529058,17.030953261126605,0.27105603970753345,0.007045897133323193
3,-0.0008751700402441997,51.228180052565754,1.314629258517034,17.03307434199819,0.27108979775807446,0.007088941200416711
3,-0.0008859720606285004,51.256543775746245,1.3226452905811623,17.035208228707432,0.27112375961985186,0.007131980829940932
3,-0.0008968365168006819,51.28510314055033,1.3306613226452906,17.037354918347397,0.2711579252466003,0.007175015968686183
3,-0.0009077633529556684,51.313858601743284,1.3386773547094188,17.039514407997807,0.2711922945918422,0.007218046563073305
3,-0.0009187525130350293,51.34281061787993,1.346693386773547,17.041686694725133,0.27122686760888887,0.007261072559152255
3,-0.0009298039407283153,51.37195965132601,1.3547094188376754,17.043871775582655,0.27126164425084187,0.0073040939026007305
3,-0.0009409175794744,51.40130616827978,1.3627254509018036,17.046069647610533,0.2712966244705939,0.007347110538722735
3,-0.0009520933724628227,51.43085063879372,1.370741482965932,17.04828030783589,0.2713318082208301,0.007390122412447232
3,-0.000963331262635136,51.460593536796466,1.3787575150300602,17.050503753272856,0.27136719545402893,0.007433129468326767
3,-0.0009746311926862541,51.490535340115024,1.3867735470941884,17.052739980922674,0.2714027861224637,0.007476131650536112
