t I S Ith Sth
1.98 -0.304488 0.64228 -0.34772 0.64228
1.99 -0.19457 0.7569 -0.2381 0.7569
2 -0.305991 0.64958 -0.35042 0.64958
2.01 -0.420985 0.539676 -0.465324 0.539676
2.02 -0.395214 0.565754 -0.444246 0.565754
2.03 -0.478153 0.485855 -0.529145 0.485855
2.04 -0.477597 0.486411 -0.533589 0.486411
2.05 -0.651325 0.328195 -0.696805 0.328195
2.06 -0.648921 0.330604 -0.699396 0.330604
2.07 -0.596929 0.38464 -0.65036 0.38464
2.08 -0.721169 0.270432 -0.769568 0.270432
2.09 -0.765733 0.227705 -0.817295 0.227705
2.1 -0.716812 0.279253 -0.770747 0.279253
2.11 -0.599577 0.408792 -0.646208 0.408792
2.12 -0.581466 0.427104 -0.632896 0.427104
2.13 -0.641144 0.369511 -0.695489 0.369511
2.14 -0.615103 0.396011 -0.673989 0.396011
2.15 -0.641262 0.370283 -0.704717 0.370283
2.16 -0.63882 0.372729 -0.707271 0.372729
2.17 -0.582335 0.431354 -0.653646 0.431354
2.18 -0.540819 0.473869 -0.616131 0.473869
2.19 -0.488136 0.528016 -0.566984 0.528016
2.2 -0.353101 0.671684 -0.428316 0.671684
2.21 -0.359163 0.665636 -0.439364 0.665636
2.22 -0.55926 0.480578 -0.629422 0.480578
2.23 -0.787614 0.27935 -0.83565 0.27935
2.24 -0.974827 0.123503 -0.996497 0.123503
2.25 -1.0135 0.0878581 -1.03714 0.0878581
2.26 -0.901564 0.235445 -0.894555 0.235445
2.27 -1.06474 0.100541 -1.03446 0.100541
2.28 -1.05079 0.114979 -1.02502 0.114979
2.29 -0.995007 0.177524 -0.967476 0.177524
2.3 -1.01404 0.159002 -0.990998 0.159002
2.31 -1.0837 0.0969718 -1.05803 0.0969718
2.32 -1.08682 0.0938738 -1.06613 0.0938738
2.33 -1.07902 0.101835 -1.06316 0.101835
2.34 -1.06885 0.112265 -1.05773 0.112265
2.35 -0.954484 0.255754 -0.919246 0.255754
2.36 -1.02064 0.193878 -0.986122 0.193878
2.37 -1.01466 0.1999 -0.9851 0.1999
2.38 -1.10434 0.12028 -1.06972 0.12028
2.39 -1.10647 0.118157 -1.07684 0.118157
2.4 -1.12452 0.100802 -1.0992 0.100802
2.41 -1.12451 0.100805 -1.1042 0.100805
2.42 -1.04917 0.190229 -1.01977 0.190229
2.43 -1.17189 0.0872985 -1.1277 0.0872985
2.44 -1.17194 0.0872534 -1.13275 0.0872534
2.45 -1.18871 0.0712855 -1.15371 0.0712855
2.46 -1.16492 0.0970566 -1.13294 0.0970566
2.47 -1.23443 0.0399951 -1.195 0.0399951
2.48 -1.24749 0.0279979 -1.212 0.0279979
2.49 -1.2564 0.0197979 -1.2252 0.0197979
2.5 -1.25178 0.0246848 -1.22532 0.0246848
2.51 -1.26575 0.0126947 -1.24231 0.0126947
2.52 -1.2821 0.0016104 -1.25839 0.0016104
2.53 -1.27751 0.00946595 -1.25553 0.00946595
2.54 -1.29589 8.09537e-06 -1.26999 8.09537e-06
2.55 -1.29558 0.0031395 -1.27186 0.0031395
2.56 -1.2809 0.0350013 -1.245 0.0350013
2.57 -1.2528 0.0687429 -1.21626 0.0687429
2.58 -1.25382 0.0677247 -1.22228 0.0677247
2.59 -1.23245 0.0907785 -1.20422 0.0907785
2.6 -1.26741 0.0591855 -1.24081 0.0591855
2.61 -1.17316 0.190959 -1.11404 0.190959
2.62 -1.24462 0.126184 -1.18382 0.126184
2.63 -1.21299 0.159793 -1.15521 0.159793
2.64 -1.17242 0.202936 -1.11706 0.202936
2.65 -1.09878 0.283257 -1.04174 0.283257
2.66 -1.09845 0.283594 -1.04641 0.283594
2.67 -1.09846 0.283585 -1.05142 0.283585
2.68 -0.992729 0.399164 -0.940836 0.399164
2.69 -1.08452 0.312651 -1.03235 0.312651
2.7 -1.07713 0.320084 -1.02992 0.320084
2.71 -1.15763 0.244644 -1.11036 0.244644
2.72 -1.30816 0.117274 -1.24273 0.117274
2.73 -1.31427 0.111238 -1.25376 0.111238
2.74 -1.34045 0.0865951 -1.2834 0.0865951
2.75 -1.32061 0.10758 -1.26742 0.10758
2.76 -1.27903 0.153178 -1.22682 0.153178
2.77 -1.34308 0.0958216 -1.28918 0.0958216
2.78 -1.28902 0.15751 -1.23249 0.15751
2.79 -1.26631 0.181035 -1.21396 0.181035
2.8 -1.26234 0.185027 -1.21497 0.185027
2.81 -1.24769 0.199967 -1.20503 0.199967
2.82 -1.31765 0.136127 -1.27387 0.136127
2.83 -1.37029 0.0885727 -1.32643 0.0885727
2.84 -1.3963 0.064475 -1.35552 0.064475
2.85 -1.40915 0.0522672 -1.37273 0.0522672
2.86 -1.42399 0.0384813 -1.39152 0.0384813
2.87 -1.43912 0.0248354 -1.41016 0.0248354
2.88 -1.46401 0.00617995 -1.43382 0.00617995
2.89 -1.48878 0.00622366 -1.43878 0.00622366
2.9 -1.48487 0.0107476 -1.43925 0.0107476
2.91 -1.47029 0.0302688 -1.42473 0.0302688
2.92 -1.48986 0.0138636 -1.44614 0.0138636
2.93 -1.49977 0.00572403 -1.45928 0.00572403
2.94 -1.50647 0.000982858 -1.46902 0.000982858
2.95 -1.50496 0.0030751 -1.47192 0.0030751
2.96 -1.49992 0.010175 -1.46982 0.010175
2.97 -1.51367 0.00107262 -1.48393 0.00107262
2.98 -1.51253 0.00251606 -1.48748 0.00251606
2.99 -1.51073 0.00463741 -1.49036 0.00463741
3 -1.50975 0.00566792 -1.49433 0.00566792
3.01 -1.4944 0.0314134 -1.47359 0.0314134
3.02 -1.53407 0.00426739 -1.50573 0.00426739
3.03 -1.52748 0.0133951 -1.5016 0.0133951
3.04 -1.55157 0.000135921 -1.51986 0.000135921
3.05 -1.55105 0.0011503 -1.52385 0.0011503
3.06 -1.55849 0.00572592 -1.52427 0.00572592
3.07 -1.5523 0.0135825 -1.52142 0.0135825
3.08 -1.56502 0.00384043 -1.53616 0.00384043
3.09 -1.55235 0.0269683 -1.51803 0.0269683
3.1 -1.565 0.0157965 -1.5342 0.0157965
3.11 -1.56702 0.013842 -1.54116 0.013842
3.12 -1.54299 0.0483054 -1.51169 0.0483054
3.13 -1.56033 0.0325228 -1.53248 0.0325228
3.14 -1.55315 0.0401002 -1.5299 0.0401002
3.15 -1.55109 0.0421833 -1.53282 0.0421833
3.16 -1.62002 0.00141196 -1.57859 0.00141196
3.17 -1.62214 8.92398e-05 -1.58491 8.92398e-05
3.18 -1.622 0.000278239 -1.58972 0.000278239
3.19 -1.62103 0.00208821 -1.59291 0.00208821
3.2 -1.62732 0.000532881 -1.59947 0.000532881
3.21 -1.61959 0.0362559 -1.56874 0.0362559
3.22 -1.57775 0.09017 -1.51983 0.09017
3.23 -1.5321 0.141599 -1.4734 0.141599
3.24 -1.52022 0.153734 -1.46627 0.153734
3.25 -1.5861 0.0949079 -1.53009 0.0949079
3.26 -1.52943 0.160043 -1.46996 0.160043
3.27 -1.58904 0.10598 -1.52902 0.10598
3.28 -1.58473 0.110333 -1.52967 0.110333
3.29 -1.59459 0.100694 -1.54431 0.100694
3.3 -1.58631 0.109142 -1.54086 0.109142
3.31 -1.65474 0.0514403 -1.60356 0.0514403
3.32 -1.66093 0.0454384 -1.61456 0.0454384
3.33 -1.73306 0.00193223 -1.66307 0.00193223
3.34 -1.73264 0.0023797 -1.66762 0.0023797
3.35 -1.7354 0.000419248 -1.67458 0.000419248
3.36 -1.7354 0.000418599 -1.67958 0.000418599
3.37 -1.73591 6.50389e-05 -1.68493 6.50389e-05
3.38 -1.735 0.00415804 -1.68584 0.00415804
3.39 -1.7357 0.00348592 -1.69151 0.00348592
3.4 -1.73487 0.00436292 -1.69564 0.00436292
3.41 -1.73962 0.000909084 -1.70409 0.000909084
3.42 -1.73576 0.0088622 -1.70114 0.0088622
3.43 -1.72146 0.0289296 -1.68607 0.0289296
3.44 -1.69757 0.0577506 -1.66225 0.0577506
3.45 -1.64786 0.118154 -1.60685 0.118154
3.46 -1.68165 0.0867847 -1.64322 0.0867847
3.47 -1.6543 0.116285 -1.61871 0.116285
3.48 -1.67205 0.0992149 -1.64079 0.0992149
3.49 -1.63503 0.139679 -1.60532 0.139679
3.5 -1.56937 0.213066 -1.53693 0.213066
3.51 -1.54399 0.239197 -1.5158 0.239197
3.52 -1.41057 0.391222 -1.36878 0.391222
3.53 -1.30468 0.504275 -1.26073 0.504275
3.54 -1.14349 0.678351 -1.09165 0.678351
3.55 -1.10882 0.71346 -1.06154 0.71346
3.56 -1.20841 0.61735 -1.16265 0.61735
3.57 -1.13405 0.693944 -1.09106 0.693944
3.58 -1.14719 0.680864 -1.10914 0.680864
3.59 -1.21988 0.610121 -1.18488 0.610121
3.6 -1.20455 0.62554 -1.17446 0.62554
3.61 -1.31684 0.518292 -1.28671 0.518292
3.62 -1.35708 0.478833 -1.33117 0.478833
3.63 -1.2746 0.56487 -1.25013 0.56487
3.64 -1.22393 0.616668 -1.20333 0.616668
3.65 -1.34544 0.501149 -1.32385 0.501149
3.66 -1.33326 0.513397 -1.3166 0.513397
3.67 -1.43939 0.412751 -1.42225 0.412751
3.68 -1.43214 0.42004 -1.41996 0.42004
3.69 -1.40274 0.449954 -1.39505 0.449954
3.7 -1.34689 0.507531 -1.34247 0.507531
3.71 -1.30848 0.546672 -1.30833 0.546672
3.72 -1.25326 0.603291 -1.25671 0.603291
3.73 -1.16234 0.697627 -1.16737 0.697627
3.74 -1.26942 0.594663 -1.27534 0.594663
3.75 -1.28936 0.574888 -1.30011 0.574888
3.76 -1.23624 0.629232 -1.25077 0.629232
3.77 -1.09108 0.782765 -1.10223 0.782765
3.78 -0.905393 0.979465 -0.910535 0.979465
3.79 -0.903522 0.981337 -0.913663 0.981337
3.8 -0.565846 1.34806 -0.551938 1.34806
3.81 -0.296854 1.63047 -0.274528 1.63047
3.82 -0.387276 1.5413 -0.368696 1.5413
3.83 -0.431855 1.49705 -0.417953 1.49705
3.84 -0.171979 1.7682 -0.151799 1.7682
3.85 -0.37444 1.57154 -0.353464 1.57154
3.86 -0.570167 1.3819 -0.548097 1.3819
3.87 -0.582503 1.36959 -0.565405 1.36959
3.88 -0.777618 1.18143 -0.758572 1.18143
3.89 -1.05678 0.918754 -1.02625 0.918754
3.9 -0.932867 1.04685 -0.903151 1.04685
3.91 -0.804675 1.17897 -0.776035 1.17897
3.92 -1.04395 0.951832 -1.00817 0.951832
3.93 -1.11555 0.881574 -1.08343 0.881574
3.94 -1.04324 0.955372 -1.01463 0.955372
3.95 -1.02255 0.976175 -0.998825 0.976175
3.96 -0.932707 1.06808 -0.911917 1.06808
3.97 -1.19693 0.820199 -1.1648 0.820199
3.98 -1.26226 0.756172 -1.23383 0.756172
3.99 -1.5312 0.511141 -1.48386 0.511141
4 -1.6803 0.372918 -1.62708 0.372918
