t I S
0.649 -0.270262 0.053016
0.65 -0.276665 0.0469089
0.651 -0.282754 0.0414008
0.652 -0.284291 0.0405981
0.653 -0.285164 0.0398759
0.654 -0.291485 0.0339714
0.655 -0.274642 0.0515207
0.656 -0.281847 0.0447053
0.657 -0.297924 0.0290545
0.658 -0.294514 0.0330949
0.659 -0.295945 0.0320695
0.66 -0.290941 0.0378685
0.661 -0.282996 0.0461597
0.662 -0.298233 0.031784
0.663 -0.291204 0.0394756
0.664 -0.276909 0.0540787
0.665 -0.280499 0.0511014
0.666 -0.284774 0.0472528
0.667 -0.273477 0.0591895
0.668 -0.272666 0.0601846
0.669 -0.26164 0.0714794
0.67 -0.260494 0.0729588
0.671 -0.248378 0.0856815
0.672 -0.273151 0.0616228
0.673 -0.273528 0.0619699
0.674 -0.288932 0.0473241
0.675 -0.26086 0.0759513
0.676 -0.257549 0.0800464
0.677 -0.274693 0.0637039
0.678 -0.268581 0.070302
0.679 -0.271482 0.0677052
0.68 -0.28912 0.0505577
0.681 -0.271116 0.0692598
0.682 -0.233557 0.107609
0.683 -0.241218 0.100536
0.684 -0.223758 0.118398
0.685 -0.246908 0.0961841
0.686 -0.239692 0.103848
0.687 -0.252144 0.0920378
0.688 -0.229472 0.115153
0.689 -0.220977 0.124005
0.69 -0.217642 0.128339
0.691 -0.205454 0.140754
0.692 -0.220401 0.12689
0.693 -0.187356 0.160409
0.694 -0.192878 0.155217
0.695 -0.201657 0.147084
0.696 -0.200586 0.149165
0.697 -0.213297 0.136605
0.698 -0.235442 0.115227
0.699 -0.225472 0.125806
0.7 -0.241613 0.109908
0.701 -0.271567 0.080641
0.702 -0.281425 0.0709857
0.703 -0.281182 0.0717992
0.704 -0.261298 0.092513
0.705 -0.248435 0.105736
0.706 -0.264404 0.0902504
0.707 -0.263993 0.091225
0.708 -0.285971 0.0698934
0.709 -0.274526 0.0819161
0.71 -0.27655 0.0808969
0.711 -0.258416 0.099541
0.712 -0.265083 0.0933404
0.713 -0.264482 0.0943815
0.714 -0.265189 0.0938615
0.715 -0.242868 0.117356
0.716 -0.232897 0.127803
0.717 -0.240612 0.120464
0.718 -0.24345 0.117913
0.719 -0.235462 0.126654
0.72 -0.249467 0.113009
0.721 -0.251102 0.11186
0.722 -0.246971 0.116738
0.723 -0.254191 0.110412
0.724 -0.256347 0.108684
0.725 -0.233893 0.131566
0.726 -0.266217 0.0999086
0.727 -0.280564 0.0859554
0.728 -0.278868 0.0880595
0.729 -0.301709 0.0658194
0.73 -0.274685 0.0935556
0.731 -0.259965 0.109058
0.732 -0.242973 0.126752
0.733 -0.249327 0.120652
0.734 -0.284134 0.086915
0.735 -0.270229 0.101244
0.736 -0.283327 0.0886615
0.737 -0.290712 0.0817372
0.738 -0.30077 0.072131
0.739 -0.306702 0.066349
0.74 -0.311521 0.0620703
0.741 -0.312611 0.0614647
