eta,Re,rho,omega,T
-3.284529447583e-04,49.83250505,8.358491732094e-01,16.9254987199,0.3712260071
-3.364014792847e-04,49.85225129,8.458491700505e-01,16.9270423186,0.3711921545
-3.444266450695e-04,49.87220380,8.558491668304e-01,16.9286008627,0.3711579804
-3.525279188396e-04,49.89236173,8.658491635490e-01,16.9301742554,0.3711234871
-3.607047754265e-04,49.91272425,8.758491602060e-01,16.9317623996,0.3710886769
-3.689566877723e-04,49.93329055,8.858491568014e-01,16.9333651981,0.3710535522
-3.772831269268e-04,49.95405977,8.958491533350e-01,16.9349825536,0.3710181152
-3.856835620428e-04,49.97503109,9.058491498067e-01,16.9366143687,0.3709823682
-3.941574603657e-04,49.99620365,9.158491462164e-01,16.9382605457,0.3709463135
-4.027042872175e-04,50.01757660,9.258491425640e-01,16.9399209870,0.3709099536
-4.113235059785e-04,50.03914910,9.358491388496e-01,16.9415955948,0.3708732907
-4.200145780628e-04,50.06092029,9.458491350729e-01,16.9432842711,0.3708363270
-4.287769628898e-04,50.08288930,9.558491312340e-01,16.9449869178,0.3707990651
-4.376101178521e-04,50.10505527,9.658491273328e-01,16.9467034370,0.3707615071
-4.465134982784e-04,50.12741733,9.758491233694e-01,16.9484337304,0.3707236555
-4.554865573925e-04,50.14997460,9.858491193436e-01,16.9501776997,0.3706855125
-4.645287462692e-04,50.17272621,9.958491152556e-01,16.9519352467,0.3706470805
-4.736395137847e-04,50.19567125,1.005849111105e+00,16.9537062727,0.3706083617
-4.828183065649e-04,50.21880885,1.015849106893e+00,16.9554906795,0.3705693587
-4.920645689290e-04,50.24213810,1.025849102618e+00,16.9572883684,0.3705300736
-5.013777428297e-04,50.26565809,1.035849098282e+00,16.9590992409,0.3704905088
-5.107572677905e-04,50.28936792,1.045849093883e+00,16.9609231984,0.3704506667
-5.202025808398e-04,50.31326666,1.055849089422e+00,16.9627601420,0.3704105496
-5.297131164406e-04,50.33735339,1.065849084900e+00,16.9646099733,0.3703701598
-5.392883064190e-04,50.36162718,1.075849080316e+00,16.9664725934,0.3703294997
-5.489275798890e-04,50.38608708,1.085849075670e+00,16.9683479035,0.3702885716
-5.586303631739e-04,50.41073214,1.095849070963e+00,16.9702358050,0.3702473778
-5.683960797271e-04,50.43556142,1.105849066194e+00,16.9721361990,0.3702059207
-5.782241500480e-04,50.46057393,1.115849061365e+00,16.9740489869,0.3701642025
-5.881139915980e-04,50.48576870,1.125849056474e+00,16.9759740698,0.3701222258
-5.980650187130e-04,50.51114476,1.135849051523e+00,16.9779113490,0.3700799926
-6.080766425145e-04,50.53670109,1.145849046512e+00,16.9798607260,0.3700375055
-6.181482708186e-04,50.56243671,1.155849041440e+00,16.9818221020,0.3699947667
-6.282793080438e-04,50.58835059,1.165849036308e+00,16.9837953784,0.3699517786
