eta,Re,rho,omega,T
-3.286887957368e-04,49.83309074,8.358491730410e-01,16.9255417528,0.3712250632
-3.366600823391e-04,49.85289399,8.458491698640e-01,16.9270894370,0.3711911212
-3.447098596584e-04,49.87290823,8.558491666241e-01,16.9286523924,0.3711568506
-3.528377289531e-04,49.89313293,8.658491633211e-01,16.9302305429,0.3711222533
-3.610432960498e-04,49.91356762,8.758491599546e-01,16.9318238133,0.3710873310
-3.693261715792e-04,49.93421181,8.858491565244e-01,16.9334321295,0.3710520855
-3.776859712091e-04,49.95506506,8.958491530301e-01,16.9350554181,0.3710165188
-3.861223158779e-04,49.97612690,9.058491494716e-01,16.9366936067,0.3709806325
-3.946348320266e-04,49.99739692,9.158491458485e-01,16.9383466239,0.3709444284
-4.032231518293e-04,50.01887471,9.258491421606e-01,16.9400143993,0.3709079083
-4.118869134226e-04,50.04055987,9.358491384077e-01,16.9416968635,0.3708710738
-4.206257611347e-04,50.06245202,9.458491345894e-01,16.9433939484,0.3708339266
-4.294393457120e-04,50.08455081,9.558491307055e-01,16.9451055867,0.3707964683
-4.383273245452e-04,50.10685590,9.658491267557e-01,16.9468317126,0.3707587007
-4.472893618941e-04,50.12936697,9.758491227399e-01,16.9485722612,0.3707206253
-4.563251291111e-04,50.15208372,9.858491186577e-01,16.9503271689,0.3706822437
-4.654343048625e-04,50.17500588,9.958491145089e-01,16.9520963735,0.3706435575
-4.746165753499e-04,50.19813318,1.005849110293e+00,16.9538798139,0.3706045682
-4.838716345288e-04,50.22146541,1.015849106011e+00,16.9556774303,0.3705652772
-4.931991843263e-04,50.24500234,1.025849101660e+00,16.9574891644,0.3705256861
-5.025989348575e-04,50.26874379,1.035849097243e+00,16.9593149591,0.3704857963
-5.120706046400e-04,50.29268959,1.045849092757e+00,16.9611547588,0.3704456092
-5.216139208072e-04,50.31683961,1.055849088203e+00,16.9630085092,0.3704051262
-5.312286193197e-04,50.34119374,1.065849083581e+00,16.9648761575,0.3703643486
-5.409144451750e-04,50.36575188,1.075849078891e+00,16.9667576524,0.3703232778
-5.506711526160e-04,50.39051398,1.085849074131e+00,16.9686529440,0.3702819150
-5.604985053376e-04,50.41547999,1.095849069302e+00,16.9705619841,0.3702402615
-5.703962766913e-04,50.44064992,1.105849064404e+00,16.9724847258,0.3701983186
-5.803642498886e-04,50.46602379,1.115849059436e+00,16.9744211239,0.3701560873
-5.904022182019e-04,50.49160164,1.125849054398e+00,16.9763711347,0.3701135689
-6.005099851644e-04,50.51738356,1.135849049290e+00,16.9783347161,0.3700707644
-6.106873647676e-04,50.54336965,1.145849044111e+00,16.9803118277,0.3700276750
-6.209341816565e-04,50.56956006,1.155849038861e+00,16.9823024307,0.3699843018
-6.312502713241e-04,50.59595497,1.165849033540e+00,16.9843064878,0.3699406456
-6.416354803030e-04,50.62255457,1.175849028148e+00,16.9863239635,0.3698967075
-6.520896663545e-04,50.64935910,1.185849022683e+00,16.9883548241,0.3698524885
-6.626126986576e-04,50.67636883,1.195849017146e+00,16.9903990373,0.3698079894
-6.732044579927e-04,50.70358408,1.205849011537e+00,16.9924565727,0.3697632111
-6.838648369266e-04,50.73100517,1.215849005855e+00,16.9945274017,0.3697181545
-6.945937399930e-04,50.75863249,1.225849000100e+00,16.9966114971,0.3696728203
-7.053910838711e-04,50.78646644,1.235848994271e+00,16.9987088339,0.3696272093
-7.162567975625e-04,50.81450747,1.245848988368e+00,17.0008193883,0.3695813222
-7.271908225649e-04,50.84275607,1.255848982390e+00,17.0029431388,0.3695351596
-7.381931130436e-04,50.87121275,1.265848976337e+00,17.0050800653,0.3694887224
-7.492636360014e-04,50.89987808,1.275848970210e+00,17.0072301496,0.3694420110
-7.604023714439e-04,50.92875266,1.285848964006e+00,17.0093933753,0.3693950259
-7.716093125435e-04,50.95783713,1.295848957726e+00,17.0115697277,0.3693477679
-7.828844658009e-04,50.98713216,1.305848951370e+00,17.0137591939,0.3693002373
-7.942278512018e-04,51.01663849,1.315848944937e+00,17.0159617628,0.3692524346
-8.056395023738e-04,51.04635686,1.325848938425e+00,17.0181774251,0.3692043602
-8.171194667364e-04,51.07628810,1.335848931836e+00,17.0204061732,0.3691560144
-8.286678056509e-04,51.10643304,1.345848925168e+00,17.0226480014,0.3691073978
-8.402845945657e-04,51.13679258,1.355848918420e+00,17.0249029057,0.3690585105
-8.519699231588e-04,51.16736765,1.365848911593e+00,17.0271708839,0.3690093528
-8.637238954751e-04,51.19815924,1.375848904685e+00,17.0294519354,0.3689599249
-8.755466300629e-04,51.22916837,1.385848897696e+00,17.0317460615,0.3689102271
-8.874382601038e-04,51.26039611,1.395848890626e+00,17.0340532654,0.3688602595
-8.993989335411e-04,51.29184360,1.405848883473e+00,17.0363735517,0.3688100222
-9.114288132017e-04,51.32351199,1.415848876237e+00,17.0387069269,0.3687595153
-9.235280769164e-04,51.35540249,1.425848868918e+00,17.0410533991,0.3687087388
-9.356969176332e-04,51.38751639,1.435848861514e+00,17.0434129784,0.3686576929
-9.479355435288e-04,51.41985498,1.445848854025e+00,17.0457856761,0.3686063774
-9.602441781126e-04,51.45241964,1.455848846450e+00,17.0481715055,0.3685547922
-9.726230603278e-04,51.48521178,1.465848838788e+00,17.0505704814,0.3685029374
-9.850724446467e-04,51.51823286,1.475848831038e+00,17.0529826201,0.3684508128
